Name,SMILES,PAPER,logP,euclidean,cosine,manhattan,correlation,mahalanobis,chebyshev
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,1,2.0024,8.108304977416992,0.039811075,73.20021,0.039809287,3.997173696635324,1.8051933
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,1,3.92732,12.511536598205566,0.096711636,111.68207,0.09712124,9.514754896048968,2.8195715
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,1,1.3101,8.90808391571045,0.04684353,78.901535,0.047021985,,2.7218802
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1,3.0732,6.962987422943115,0.028690279,64.54519,0.028765798,9.255526721624996,1.4946227
Benzene,c1ccccc1,0,1.6866,14.554396629333496,0.09879249,135.92798,0.09912008,,3.9828386
Phthalic_acid,O=C(O)c1ccccc1C(=O)O,0,1.083,9.304889678955078,0.047607243,83.78183,0.047541797,11.002064381136273,2.2622957
Chrysene,c1ccc2c(c1)ccc3c2ccc4c3cccc4,0,5.1462,14.479243278503418,0.11317247,138.12396,0.11331886,19.84139270748213,4.138732
Cyclohexane,C1CCCCC1,0,2.3406,14.337600708007812,0.09769946,132.57986,0.09796023,17.723847148889174,3.8513265
Ethanol,CCO,0,-0.0014,12.977176666259766,0.07605785,114.240974,0.07638794,15.5360016912895,3.5852227
Dimethylurea,CNC(=O)N(C)C,0,-0.1126,11.16319751739502,0.060902715,100.47797,0.06114012,10.844891567769775,2.7533545
Acetic acid,CC(=O)O,0,0.0909,12.663801193237305,0.07488239,111.82431,0.07518309,14.609162403538578,3.3102293
Heteroatoms,C1=CC=C(C=C1)C(C(C(=O)O)N)C(C(=O)O)N,0,-0.406,19.890823364257812,0.17689574,188.21298,0.17500478,19.760773508901543,5.3098016
Oestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,1,3.6092,5.068387508392334,0.015355468,43.9393,0.015419066,7.032485327815519,1.2370961
Pyramidone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,1,1.55042,11.531577110290527,0.07926971,108.23131,0.07955158,,2.4953647
Etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,0,4.17592,15.144596099853516,0.14100033,139.45421,0.14163834,13.973721790716914,3.386827
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,0,2.7586,14.710460662841797,0.13106918,136.86647,0.1313954,,3.3850281
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,0,4.3641,8.087362289428711,0.039377213,70.18797,0.039545536,7.549439620385618,1.9745332
POLYMER 0,OCCN(C(=O)C(c1ccccc1)c1ccccc1),0,1.927,3.671916961669922,0.008021295,34.2135,0.0079987645,6.637935789533015,0.6900971
POLYMER 1,N(C(=O)C(c1ccccc1)c2ccccc2)CC,0,2.9546,6.306405067443848,0.023767352,58.290848,0.02381283,3.216612372234576,1.2672036
POLYMER 2,N(CCO)[C](c1ccccc1)c2ccccc2,0,2.19689,0.0,0.0,0.0,0.0,0.0,0.0
POLYMER precrop,c1ccc(cc1)C(c2ccccc2)C3=NCCO3,0,3.2472,10.603890419006348,0.06707519,99.47636,0.06712592,,2.5428395
POLYMER 3,OCCN[C](c1ccccc1)c1ccccc1,0,2.19689,3.5587996535468847e-05,5.9604645e-08,0.0003707707,0.0,6.561203559937596,5.722046e-06
