SMILES;logP;euclidean;cosine;manhattan
CC(=O)OC1=CC=CC=C1C(=O)O;1,3101;41,9283561706543;1,0310555207508187;459,16327
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O;3,0732;42,414371490478516;1,0436408629421838;471,0381
c1ccccc1;1,6866;36,76411437988281;1,0612942224527115;398,73663
O=C(O)c1ccccc1C(=O)O;1,083;34,2621955871582;0,7896200590417828;375,88632
c1ccc2c(c1)ccc3c2ccc4c3cccc4;5,1462;37,73515701293945;1,0045644155539424;412,67642
C1CCCCC1;2,3406;37,30933380126953;0,9810601919287687;417,6121
CCO;-0,0014;30,607995986938477;0,7659685030622386;341,37524
CNC(=O)N(C)C;-0,1126;27,104158401489258;0,5805519252834004;303,3717
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O;3,6092;47,030582427978516;1,3183928594956833;533,45874
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C;1,55042;41,55996322631836;0,9588422612906898;440,43997
CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C;4,17592;43,512664794921875;1,1129948084940837;469,9447
CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2;2,7586;43,08513259887695;0,9977659254465888;474,90747
C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl;4,3641;44,074161529541016;1,0840519754388782;492,93906
OCCN(C(=O)C(c1ccccc1)c1ccccc1);1,927;0,0;0,0;0,0
