,0,1
Metoclopramide,1.9125669152557907,-0.127032345952609
Indomethacin,1.7109314731650258,1.3917045291939465
Aspirin,0.5227971876092594,-0.6524131146287618
Ibuprofen,-0.41048611365688514,0.45725306169254853
Benzene,-2.4074072961238953,-0.22699281658544704
Phthalic acid,0.8220612105185995,-1.2463441789232172
Chrysene,-1.7193391082094742,2.118840994602623
Cyclohexane,-2.372609778321251,0.11566275517900783
Ethanol,-1.422729134114532,-1.637351221917283
Dimethylurea,-0.9817143402674078,-1.5165829416371825
Acetic acid,-1.075189528649354,-1.6406538572306417
Oestradiol,0.7367283539012779,0.6730583831502451
Pyramidone,0.005419902940389582,0.26114414759141347
Etoricoxib,1.0827739621390973,1.906968594616063
Nimesulide,2.303074264763042,0.42629270200470465
Diclofenac,0.993518735006592,1.082557693013446
Urea,-0.06454050740419902,-2.6969018771187683
Polistirene,-2.2875148219008596,0.20054796791523027
Polietilene,-2.621389599181071,-0.7622164044111721
PVC,-2.4734037753632285,-0.503281763639943
2_4_5-trichlorophenoxyacetic,0.2627000398638769,0.6456056628015033
Ciprofloxacin,2.474234067718815,-0.21536821479367044
Amoxicillin,4.8741990899372025,-1.8488688783328857
Paracetamol,0.3375915252150663,-1.0206546641683731
Fluoxetine,0.09229314546655981,1.6979643719901807
Sertraline,-0.3834339208716886,2.084032674492656
Carbamazepine,-0.12664804424882992,0.6853015069260469
PolyPhOx,0.21551609481208067,0.3477272341703417
