Name,SMILES,Distance_from_PolyPhOx
PolyPhOx,CN(CCO)C(=O)C(c1ccccc1)c2ccccc2,0.0
2_4_5-trichlorophenoxyacetic,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,0.6761661896765725
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0.693068360532206
Pyramidone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,0.6943989656198495
Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,1.2799682326095845
Oestradiol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,1.2803447358996425
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,1.4270003157148783
Paracetamol,CC(=O)NC1=CC=C(C=C1)O,1.8232481621001515
Diclofenac,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,1.9125015861464405
Fluoxetine,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,2.032156464158398
Phthalic acid,O=C(O)c1ccccc1C(=O)O,2.0959351490233398
Sertraline,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,2.2521872610009144
Ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,2.534652310195217
Chrysene,c1ccc2c(c1)ccc3c2ccc4c3cccc4,2.830820977332358
Urea,C(=O)(N)N,2.836847094890735
Nimesulide,CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,2.9297679335523923
Amoxicillin,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,3.037873013353583
Etoricoxib,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,3.102608195009252
Metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,3.1720244518942153
Dimethylurea,CNC(=O)N(C)C,3.1878316055858225
Acetic acid,CC(=O)O,3.394979922756069
Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,3.3950475871630132
Ethanol,CCO,3.694424932729661
PVC,C(C)Cl,9.4274325172676
Polietilene,CC,9.674624260900593
Benzene,c1ccccc1,9.712908781229936
Cyclohexane,C1CCCCC1,10.104133271962873
Polistirene,C=CC1=CC=CC=C1,10.224034309691085
