,0,1
Metoclopramide,2.3893641882935017,-0.39052075384261115
Indomethacin,2.6383543468296162,2.1371718040875667
Aspirin,0.5160563212430074,-0.676256653568743
Ibuprofen,-0.2050505657074091,-0.22543834311678518
Benzene,-2.7295804292867816,-0.23902937268696778
Phthalic acid,0.5393153429456481,-1.1644329255404378
Chrysene,-1.9583677205805916,1.894075341198477
Cyclohexane,-2.9261181047357594,-0.251737706642919
Ethanol,-2.095321074774309,-1.6348386265559367
Dimethylurea,-1.4519920835604683,-1.8411101698715617
Acetic acid,-1.461096631392455,-1.9032095488055512
Oestradiol,1.211021624710379,0.6462679086857468
Pyramidone,0.003664589054477986,0.4928964289865831
Etoricoxib,1.1609742666884888,3.04204455138493
Nimesulide,2.5351126294936104,1.1732440051315323
Diclofenac,1.1631525732509675,1.5676708743299232
Urea,-0.7712824707605077,-2.858852311966563
Polistirene,-2.4880140138669873,0.5201031908707343
Polietilene,-3.0300160791521,-0.920250232234455
PVC,-2.9790371862049985,-0.5299952438138755
2_4_5-trichlorophenoxyacetic,0.4926536642380462,0.7985312837676545
Ciprofloxacin,3.2808469395612003,-0.8011480963907786
Amoxicillin,5.918307357766171,-3.5538711670968572
Paracetamol,0.33527054181690646,-1.3726477211029573
Fluoxetine,-0.011317349797120521,2.6127335028105096
Sertraline,-0.31929202779867305,3.1444756790854154
Carbamazepine,-0.036566595789207686,0.18290022362756583
PolyPhOx,0.27895794751534286,0.15122407927036258
